INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,Tuberculosis,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0014
I00699,1,Tuberculosis,RCF,AIREDALE NHS FOUNDATION TRUST,9,*,0.8279
I00699,1,Tuberculosis,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,*,0,0.0831
I00699,1,Tuberculosis,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",62,*,2.2946
I00699,1,Tuberculosis,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0515
I00699,1,Tuberculosis,R1H,BARTS HEALTH NHS TRUST,113,*,4.4661
I00699,1,Tuberculosis,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11,*,0.5529
I00699,1,Tuberculosis,RC1,BEDFORD HOSPITAL NHS TRUST,*,0,0.0674
I00699,1,Tuberculosis,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,10,*,0.7915
I00699,1,Tuberculosis,RMC,BOLTON NHS FOUNDATION TRUST,15,0,0.5075
I00699,1,Tuberculosis,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,31,*,1.6144
I00699,1,Tuberculosis,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,19,0,1.113
I00699,1,Tuberculosis,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,14,0,0.3325
I00699,1,Tuberculosis,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,9,*,0.6194
I00699,1,Tuberculosis,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15,0,0.5817
I00699,1,Tuberculosis,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,41,0,0.9787
I00699,1,Tuberculosis,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.1298
I00699,1,Tuberculosis,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,*,0,0.1199
I00699,1,Tuberculosis,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6,0,0.2401
I00699,1,Tuberculosis,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,*,0,0.0171
I00699,1,Tuberculosis,RJ6,CROYDON HEALTH SERVICES NHS TRUST,17,0,0.5605
I00699,1,Tuberculosis,RN7,DARTFORD AND GRAVESHAM NHS TRUST,17,0,0.8124
I00699,1,Tuberculosis,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,6,0,0.2342
I00699,1,Tuberculosis,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.056
I00699,1,Tuberculosis,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,*,0,0.1075
I00699,1,Tuberculosis,RJN,EAST CHESHIRE NHS TRUST,*,0,0.0101
I00699,1,Tuberculosis,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,13,0,0.2575
I00699,1,Tuberculosis,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,17,*,0.5621
I00699,1,Tuberculosis,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,8,0,0.2035
I00699,1,Tuberculosis,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,*,0,0.3139
I00699,1,Tuberculosis,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,*,0,0.2422
I00699,1,Tuberculosis,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,26,*,1.7654
I00699,1,Tuberculosis,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,*,0,0.2317
I00699,1,Tuberculosis,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.2879
I00699,1,Tuberculosis,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,11,0,0.172
I00699,1,Tuberculosis,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,32,0,1.2649
I00699,1,Tuberculosis,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,*,*,0.181
I00699,1,Tuberculosis,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,0.0251
I00699,1,Tuberculosis,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,24,0,1.3033
I00699,1,Tuberculosis,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,9,0,0.6832
I00699,1,Tuberculosis,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,65,*,2.7249
I00699,1,Tuberculosis,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7,0,0.1664
